! Data file for `tsp.mos'

DIST: [0	97	56	65	31	74	13	34	94	58	114	74	78	111	56	78	0
	97	0	101	98	73	24	86	66	37	97	64	95	86	96	41	60	97
	56	101	0	11	39	86	48	48	77	5	82	22	31	63	68	49	56
	65	98	11	0	44	86	56	52	71	7	74	11	21	52	69	43	65
	31	73	39	44	0	54	18	9	64	38	83	50	51	82	34	47	31
	74	24	86	86	54	0	64	45	44	83	73	85	79	97	20	56	74
	13	86	48	56	18	64	0	21	81	49	101	64	67	99	45	65	13
	34	66	48	52	9	45	21	0	60	47	82	57	56	86	25	48	34
	94	37	77	71	64	44	81	60	0	72	29	65	55	59	45	28	94
	58	97	5	7	38	83	49	47	72	0	77	18	26	59	65	44	58
	114	64	82	74	83	73	101	82	29	77	0	64	53	40	72	37	114
	74	95	22	11	50	85	64	57	65	18	64	0	11	41	70	36	74
	78	86	31	21	51	79	67	56	55	26	53	11	0	34	65	27	78
	111	96	63	52	82	97	99	86	59	59	40	41	34	0	88	42	111
	56	41	68	69	34	20	45	25	45	65	72	70	65	88	0	46	56
	78	60	49	43	47	56	65	48	28	44	37	36	27	42	46	0	78
	0	97	56	65	31	74	13	34	94	58	114	74	78	111	56	78	0]


POS: [[0 0]	[13 96]	[56 5]	[64 12]	[21 23]	[4 74]	[8 10]	[15 30]	[47 81]	[57 10]	[76 85]	[71 21]	[71 32]	[98 52]	[10 55]	[56 54]]

