! Data file for `tsp.mos'

DIST: [0	58	109	28	70	60	38	105	119	118	41	83	104	36	113	94	0
	58	0	71	49	16	2	53	98	84	78	22	25	50	36	63	78	58
	109	71	0	83	57	71	77	57	14	9	71	57	41	73	28	37	109
	28	49	83	0	55	51	10	77	92	93	27	69	86	14	91	66	28
	70	16	57	55	0	15	57	90	70	64	30	13	35	41	47	69	70
	60	2	71	51	15	0	55	99	85	79	25	24	49	38	62	79	60
	38	53	77	10	57	55	0	67	85	86	31	70	84	17	88	57	38
	105	98	57	77	90	99	67	0	52	62	84	98	93	76	83	22	105
	119	84	14	92	70	85	85	52	0	12	83	71	54	83	39	36	119
	118	78	9	93	64	79	86	62	12	0	80	63	43	82	27	44	118
	41	22	71	27	30	25	31	84	83	80	0	43	63	14	72	67	41
	83	25	57	69	13	24	70	98	71	63	43	0	26	55	42	76	83
	104	50	41	86	35	49	84	93	54	43	63	26	0	72	17	71	104
	36	36	73	14	41	38	17	76	83	82	14	55	72	0	79	62	36
	113	63	28	91	47	62	88	83	39	27	72	42	17	79	0	63	113
	94	78	37	66	69	79	57	22	36	44	67	76	71	62	63	0	94
	0	58	109	28	70	60	38	105	119	118	41	83	104	36	113	94	0]


POS: [[0 0][58 6][81 73][13 25][68 18][60 5][14 35][31 100][81 87][89 78][38 16][81 16][98 36][27 24][100 53][45 83][0 0]]

