! Data file for `tsp.mos'

DIST: [0	98	89	118	95	38	91	102	90	34	95	101	29	77	28	64	0
	98	0	42	39	49	61	29	40	54	71	33	10	83	34	71	37	98
	89	42	0	32	9	61	65	13	12	75	70	52	64	16	64	53	89
	118	39	32	0	31	86	68	19	38	99	72	47	95	40	91	69	118
	95	49	9	31	0	69	73	12	7	83	78	59	69	24	71	62	95
	38	61	61	86	69	0	53	72	67	14	57	63	34	47	13	26	38
	91	29	65	68	73	53	0	67	76	58	5	22	84	52	66	27	91
	102	40	13	19	12	72	67	0	19	86	72	50	77	25	76	61	102
	90	54	12	38	7	67	76	19	0	81	81	64	64	25	67	63	90
	34	71	75	99	83	14	58	86	81	0	61	71	42	61	20	34	34
	95	33	70	72	78	57	5	72	81	61	0	25	89	57	70	32	95
	101	10	52	47	59	63	22	50	64	71	25	0	88	43	74	37	101
	29	83	64	95	69	34	84	77	64	42	89	88	0	55	22	57	29
	77	34	16	40	24	47	52	25	25	61	57	43	55	0	51	38	77
	28	71	64	91	71	13	66	76	67	20	70	74	22	51	0	39	28
	64	37	53	69	62	26	27	61	63	34	32	37	57	38	39	0	64
	0	98	89	118	95	38	91	102	90	34	95	101	29	77	28	64	0]


POS: [[0 0][62 76][80 38][99 64][88 35]	[19 33]	[34 84]	[90 47]	[86 28]	[5 34]	[32 89]	[56 84]	[29 0][65 42][19 20][30 57][0 0]]

