! Data file for `tsp.mos'

DIST: [0	61	73	95	13	31	69	19	63	94	91	54	88	40	45	107	57	108	70	110	53	60	100	94	108	119	0
61	0	16	52	51	39	33	43	2	33	34	30	28	22	26	46	35	54	13	53	40	11	47	48	49	63	61
73	16	0	37	64	54	25	54	14	26	36	46	23	35	31	38	33	55	22	38	56	27	31	33	35	61	73
95	52	37	0	90	86	26	77	51	52	68	83	53	66	51	56	39	85	59	32	92	64	19	5	35	86	95
13	51	64	90	0	19	64	14	53	83	79	42	78	29	39	96	53	95	59	102	40	48	93	88	99	107	13
31	39	54	86	19	0	61	23	41	69	63	23	64	20	38	82	54	78	44	92	22	33	85	83	89	90	31
69	33	25	26	64	61	0	51	33	49	60	62	47	41	25	58	14	80	44	47	71	45	34	25	47	85	69
19	43	54	77	14	23	51	0	45	76	75	43	71	22	26	89	40	93	53	91	45	43	82	76	89	103	19
63	2	14	51	53	41	33	45	0	30	33	32	26	24	28	44	36	52	12	51	42	13	45	47	47	61	63
94	33	26	52	83	69	49	76	30	0	17	52	5	54	56	14	58	33	25	32	62	36	36	47	27	36	94
91	34	36	68	79	63	60	75	33	17	0	43	15	52	60	25	67	20	22	49	51	32	53	62	44	29	91
54	30	46	83	42	23	62	43	32	52	43	0	47	26	45	65	60	55	28	80	10	20	77	79	76	68	54
88	28	23	53	78	64	47	71	26	5	15	47	0	49	52	19	56	33	20	36	57	30	38	47	31	38	88
40	22	35	66	29	20	41	22	24	54	52	26	49	0	20	67	36	70	31	73	32	21	65	63	70	81	40
45	26	31	51	39	38	25	26	28	56	60	45	52	20	0	69	16	80	39	66	52	33	56	50	64	89	45
107	46	38	56	96	82	58	89	44	14	25	65	19	67	69	0	69	33	38	28	74	49	37	50	24	31	107
57	35	33	39	53	54	14	40	36	58	67	60	56	36	16	69	0	87	48	60	67	45	48	38	60	94	57
108	54	55	85	95	78	80	93	52	33	20	55	33	70	80	33	87	0	41	62	62	49	69	80	57	13	108
70	13	22	59	59	44	44	53	12	25	22	28	20	31	39	38	48	41	0	52	38	11	50	55	48	51	70
110	53	38	32	102	92	47	91	51	32	49	80	36	73	66	28	60	62	52	0	90	61	14	28	5	59	110
53	40	56	92	40	22	71	45	42	62	51	10	57	32	52	74	67	62	38	90	0	30	87	89	86	75	53
60	11	27	64	48	33	45	43	13	36	32	20	30	21	33	49	45	49	11	61	30	0	57	60	57	60	60
100	47	31	19	93	85	34	82	45	36	53	77	38	65	56	37	48	69	50	14	87	57	0	14	16	68	100
94	48	33	5	88	83	25	76	47	47	62	79	47	63	50	50	38	80	55	28	89	60	14	0	30	81	94
108	49	35	35	99	89	47	89	47	27	44	76	31	70	64	24	60	57	48	5	86	57	16	30	0	54	108
119	63	61	86	107	90	85	103	61	36	29	68	38	81	89	31	94	13	51	59	75	60	68	81	54	0	119
0	61	73	95	13	31	69	19	63	94	91	54	88	40	45	107	57	108	70	110	53	60	100	94	108	119	0]


POS: [[0 0]	[39 47]	[37 63]	[16 94]	[12 4]	[30 9]	[13 68]	[8 17]	[40 49]	[62 70]	[72 56]	[51 19]	[60 65]	[27 29]	[13 43]	[70 81]	[5 57]	[92 56]	[52 47]	[48 99]	[52 9]	[46 38]	[35 94]	[21 92]	[51 95]	[98 68]	[0 0]]

