! Data file for `tsp.mos'

DIST: [0	93	24	53	97	122	104	115	100	99	27	47	100	74	82	116	0
93	0	69	40	13	40	16	40	28	69	70	45	21	41	32	37	93
24	69	0	29	73	101	80	95	80	87	18	24	76	51	63	95	24
53	40	29	0	45	73	51	69	53	72	33	6	48	32	40	68	53
97	13	73	45	0	48	7	50	39	82	77	50	8	35	45	47	97
122	40	101	73	48	0	46	10	21	57	95	77	54	81	41	6	122
104	16	80	51	7	46	0	49	40	84	83	57	9	41	48	45	104
115	40	95	69	50	10	49	0	16	47	88	72	57	80	33	5	115
100	28	80	53	39	21	40	16	0	46	74	56	47	66	20	16	100
99	69	87	72	82	57	84	47	46	0	73	71	90	98	38	52	99
27	70	18	33	77	95	83	88	74	73	0	27	81	62	55	89	27
47	45	24	6	50	77	57	72	56	71	27	0	54	37	41	72	47
100	21	76	48	8	54	9	57	47	90	81	54	0	33	53	53	100
74	41	51	32	35	81	41	80	66	98	62	37	33	0	61	78	74
82	32	63	40	45	41	48	33	20	38	55	41	53	61	0	35	82
116	37	95	68	47	6	45	5	16	52	89	72	53	78	35	0	116
0	93	24	53	97	122	104	115	100	99	27	47	100	74	82	116	0]


POS: [[0 0]	[82 43]	[23 7]	[48 22]	[91 34]	[90 82]	[97 37]	[80 83]	[73 69]	[34 93]	[15 23]	[42 22]	[96 28]	[74 3]	[55 61]	[84 80]	[0 0]]

