! Data file for `tsp.mos'

DIST: [0	101	123	57	104	78	84	90	79	36	101	57	46	83	68	98	0
101	0	59	78	76	23	21	86	90	66	110	93	73	103	67	9	101
123	59	0	73	36	71	53	56	68	89	75	85	79	79	59	51	123
57	78	73	0	47	65	57	33	24	36	48	15	13	33	14	71	57
104	76	36	47	0	78	61	21	34	75	40	55	57	44	36	67	104
78	23	71	65	78	0	18	82	83	45	105	79	58	95	58	25	78
84	21	53	57	61	18	0	68	71	49	91	72	53	84	47	15	84
90	86	56	33	21	82	68	0	14	67	23	37	46	23	28	78	90
79	90	68	24	34	83	71	14	0	60	24	24	37	13	25	82	79
36	66	89	36	75	45	49	67	60	0	84	45	24	69	40	63	36
101	110	75	48	40	105	91	23	24	84	0	44	61	18	48	101	101
57	93	85	15	55	79	72	37	24	45	44	0	23	26	28	86	57
46	73	79	13	57	58	53	46	37	24	61	23	0	45	21	68	46
83	103	79	33	44	95	84	23	13	69	18	26	45	0	38	95	83
68	67	59	14	36	58	47	28	25	40	48	28	21	38	0	59	68
98	9	51	71	67	25	15	78	82	63	101	86	68	95	59	0	98
0	101	123	57	104	78	84	90	79	36	101	57	46	83	68	98	0]


POS: [[0 0]	[99 18]	[96 77]	[28 50]	[61 84]	[78 8]	[80 26]	[40 81]	[28 74]	[33 14]	[24 98]	[14 55]	[28 37]	[17 81]	[42 53]	[95 26]	[0 0]]

