! Data file for `tsp.mos'

DIST: [0	57	99	21	62	97	81	120	80	69	99	101	32	79	107	101	0
57	0	46	44	26	53	54	75	24	18	81	44	31	45	66	76	57
99	46	0	89	64	67	85	80	23	30	111	27	77	74	80	102	99
21	44	89	0	42	77	60	100	68	60	79	86	14	58	87	80	21
62	26	64	42	0	35	28	58	40	42	55	50	30	20	47	50	62
97	53	67	77	35	0	28	23	50	61	48	42	65	21	14	37	97
81	54	85	60	28	28	0	45	63	69	27	64	52	11	30	22	81
120	75	80	100	58	23	45	0	68	81	54	53	88	42	15	42	120
80	24	23	68	40	50	63	68	0	15	90	23	55	52	64	82	80
69	18	30	60	42	61	69	81	15	0	96	38	48	58	75	90	69
99	81	111	79	55	48	27	54	90	96	0	89	73	38	41	12	99
101	44	27	86	50	42	64	53	23	38	89	0	73	53	54	78	101
32	31	77	14	30	65	52	88	55	48	73	73	0	48	75	73	32
79	45	74	58	20	21	11	42	52	58	38	53	48	0	28	31	79
107	66	80	87	47	14	30	15	64	75	41	54	75	28	0	29	107
101	76	102	80	50	37	22	42	82	90	12	78	73	31	29	0	101
0	57	99	21	62	97	81	120	80	69	99	101	32	79	107	101	0]


POS: [[0 0]	[53 20]	[98 12]	[9 19]	[43 44]	[66 71]	[38 72]	[79 90]	[77 22]	[68 10]	[25 96]	[93 39]	[22 23]	[46 64]	[65 85]	[37 94]	[0 0]]

