! Data file for `tsp.mos'

DIST: [0	68	124	91	42	5	35	72	101	71	78	90	85	110	51	47	102	105	54	78	92	0
68	0	56	27	31	63	33	16	35	30	10	59	48	47	44	38	49	57	50	38	62	68
124	56	0	35	84	119	89	54	29	69	46	86	67	38	89	86	56	56	92	71	78	124
91	27	35	0	50	87	58	20	30	53	21	79	36	47	54	51	58	35	57	59	50	91
42	31	84	50	0	38	15	30	66	50	41	78	46	78	20	11	77	64	25	59	56	42
5	63	119	87	38	0	30	67	96	66	73	85	82	104	49	44	97	102	52	73	90	5
35	33	89	58	15	30	0	39	67	42	43	67	60	76	34	26	72	77	40	50	71	35
72	16	54	20	30	67	39	0	41	46	18	75	32	57	36	32	62	42	40	54	46	72
101	35	29	30	66	96	67	41	0	40	25	58	66	17	76	71	30	65	81	41	80	101
71	30	69	53	50	66	42	46	40	0	32	30	78	41	68	61	31	86	74	9	92	71
78	10	46	21	41	73	43	18	25	32	0	59	49	39	52	47	43	55	57	38	63	78
90	59	86	79	78	85	67	75	58	30	59	0	107	49	97	89	32	114	103	21	121	90
85	48	67	36	46	82	60	32	66	78	49	107	0	83	35	39	92	21	35	86	14	85
110	47	38	47	78	104	76	57	17	41	39	49	83	0	91	85	18	81	96	39	97	110
51	44	89	54	20	49	34	36	76	68	52	97	35	91	0	8	93	55	6	77	41	51
47	38	86	51	11	44	26	32	71	61	47	89	39	85	8	0	86	59	14	69	47	47
102	49	56	58	77	97	72	62	30	31	43	32	92	18	93	86	0	93	98	26	106	102
105	57	56	35	64	102	77	42	65	86	55	114	21	81	55	59	93	0	55	93	24	105
54	50	92	57	25	52	40	40	81	74	57	103	35	96	6	14	98	55	0	83	39	54
78	38	71	59	59	73	50	54	41	9	38	21	86	39	77	69	26	93	83	0	100	78
92	62	78	50	56	90	71	46	80	92	63	121	14	97	41	47	106	24	39	100	0	92
0	68	124	91	42	5	35	72	101	71	78	90	85	110	51	47	102	105	54	78	92	0]


POS: [[0 0]	[46 50]	[88 87]	[73 55]	[37 20]	[2 5]	[23 26]	[59 41]	[59 82]	[22 68]	[52 58]	[2 90]	[83 20]	[51 97]	[51 6]	[45 12]	[33 97]	[100 32]	[54 1]	[18 76]	[92 9]	[0 0]]

