! Data file for `tsp.mos'

DIST: [0	45	111	36	93	49	47	111	79	78	68	17	54	47	101	42	0
45	0	77	45	97	15	8	89	85	33	50	45	50	45	68	8	45
111	77	0	83	84	65	71	33	82	60	48	100	67	72	10	74	111
36	45	83	0	59	36	40	76	45	69	35	20	19	11	74	37	36
93	97	84	59	0	83	89	56	14	109	52	76	47	53	79	89	93
49	15	65	36	83	0	7	74	72	33	35	43	37	34	55	9	49
47	8	71	40	89	7	0	81	78	32	42	43	43	39	61	4	47
111	89	33	76	56	74	81	0	58	82	43	96	58	65	34	83	111
79	85	82	45	14	72	78	58	0	99	43	62	34	40	76	76	79
78	33	60	69	109	33	32	82	99	0	57	75	67	65	52	36	78
68	50	48	35	52	35	42	43	43	57	0	54	19	24	40	43	68
17	45	100	20	76	43	43	96	62	75	54	0	38	31	90	39	17
54	50	67	19	47	37	43	58	34	67	19	38	0	8	58	42	54
47	45	72	11	53	34	39	65	40	65	24	31	8	0	63	37	47
101	68	10	74	79	55	61	34	76	52	40	90	58	63	0	64	101
42	8	74	37	89	9	4	83	76	36	43	39	42	37	64	0	42
0	45	111	36	93	49	47	111	79	78	68	17	54	47	101	42	0]


POS: [[0 0]	[4 45]	[69 87]	[34 12]	[93 7]	[19 45]	[12 45]	[91 63]	[79 6]	[10 77]	[54 41]	[17 2]	[49 23]	[42 20]	[62 80]	[11 41]	[0 0]]

