! Data file for `tsp.mos'

DIST: [0	65	92	57	45	94	79	71	52	88	106	97	21	90	53	35	0
65	0	34	59	71	72	61	20	38	99	43	71	49	70	54	30	65
92	34	0	64	82	57	52	21	48	97	16	53	73	56	61	59	92
57	59	64	0	22	38	24	47	21	41	80	42	40	34	6	50	57
45	71	82	22	0	58	45	64	35	43	99	62	34	54	22	52	45
94	72	57	38	58	0	14	53	45	47	70	6	74	4	41	77	94
79	61	52	24	45	14	0	44	31	45	68	18	60	11	27	63	79
71	20	21	47	64	53	44	0	29	85	36	51	52	51	43	39	71
52	38	48	21	35	45	31	29	0	62	64	47	31	42	16	32	52
88	99	97	41	43	47	45	85	62	0	112	52	75	45	47	90	88
106	43	16	80	99	70	68	36	64	112	0	66	88	70	77	72	106
97	71	53	42	62	6	18	51	47	52	66	0	77	9	45	78	97
21	49	73	40	34	74	60	52	31	75	88	77	0	71	34	22	21
90	70	56	34	54	4	11	51	42	45	70	9	71	0	37	74	90
53	54	61	6	22	41	27	43	16	47	77	45	34	37	0	43	53
35	30	59	50	52	77	63	39	32	90	72	78	22	74	43	0	35
0	65	92	57	45	94	79	71	52	88	106	97	21	90	53	35	0]


POS: [[0 0]	[11 64]	[38 84]	[53 22]	[45 2]	[81 47]	[68 41]	[31 64]	[37 36]	[88 1]	[35 100]	[81 53]	[14 15]	[78 45]	[47 24]	[5 35]	[0 0]]

